query_id,query_text,intent,entities,response_text
Q000001,"Hi, check if we have jacket in black",get_stock,"{""product"": ""jacket"", ""category"": ""jackets"", ""color"": ""black"", ""quantity"": 219}",There are 219 jacket left in stock.
Q000002,Need to know stock for olive pullover,get_stock,"{""product"": ""pullover"", ""category"": ""hoodies"", ""color"": ""olive"", ""size"": ""large"", ""quantity"": 279}","Yes, we have 279 olive pullover in large."
Q000003,Schedule restock for sweater,create_reorder,"{""product"": ""sweater"", ""category"": ""sweaters"", ""supplier"": ""FashionHub"", ""quantity"": 191}",Reorder confirmed for sweater.
Q000004,What's the total sales for sweaters this month?,get_sales_summary,"{""product"": ""knit"", ""category"": ""sweaters"", ""size"": ""28"", ""quantity"": 122, ""revenue"": 4126.83}",Knit is performing well with 122 units sold.
Q000005,", what's the revenue from sweater sales?",get_sales_summary,"{""product"": ""sweater"", ""category"": ""sweaters"", ""color"": ""beige"", ""quantity"": 303, ""revenue"": 2057.06}","Sales summary: 303 sweater sold, total revenue $2057.06."
Q000006,Order more brown belt from supplier,create_reorder,"{""product"": ""belt"", ""category"": ""accessories"", ""color"": ""brown"", ""quantity"": 445}",Order confirmed: 445 brown belt from our supplier.
Q000007,"Hello , how many knit do we have?",get_stock,"{""product"": ""knit"", ""category"": ""sweaters"", ""supplier"": ""ApparelPro"", ""quantity"": 264}",Current stock: 264 knit.
Q000008,What's our bermuda count looking like?,get_stock,"{""product"": ""bermuda"", ""category"": ""shorts"", ""color"": ""red"", ""quantity"": 422}",Stock level for red bermuda: 422 units.
Q000009,", when will blazer arrive?",get_delivery_status,"{""product"": ""blazer"", ""category"": ""jackets"", ""color"": ""pink"", ""supplier"": ""GarmentCo"", ""delivery_date"": ""2025-11-12"", ""days_until_delivery"": 11}","Blazer order is in transit, ETA 11 days."
Q000010,Check inventory for red denim thank you,get_stock,"{""product"": ""denim"", ""category"": ""jeans"", ""color"": ""red"", ""size"": ""38"", ""supplier"": ""FabricWorks"", ""quantity"": 456}",We have 456 38 red denim ready to ship.
