product_id,name,category,sub_category,color,size,cost_price,selling_price,stock_quantity,reorder_threshold,supplier_id,last_restock_date,location,barcode
CLO-10001,Red Hooded Sweatshirt,Jackets,Hoodie,Red,M,22.5,54.0,120,15,SUP-007,2025-08-14,SF Downtown Store,1043321819600
CLO-10002,Black Cotton Hoodie,Jackets,Hoodie,Black,L,20.0,46.0,95,12,SUP-012,2025-06-22,Palo Alto Outlet,1338908386379
CLO-10003,Blue Denim Jeans,Bottomwear,Jeans,Blue,XL,18.0,42.0,210,18,SUP-003,2025-09-03,Online Warehouse,4026542351161
CLO-10004,Gray Chino Pants,Bottomwear,Pants,Gray,M,16.5,36.0,180,14,SUP-019,2025-07-28,SF Downtown Store,5594078161849
CLO-10005,White V-Neck T-Shirt,Tops,T-Shirt,White,S,6.0,12.0,320,12,SUP-005,2025-10-02,Palo Alto Outlet,5931034131647
CLO-10006,Blue Graphic Tee,Tops,T-Shirt,Blue,M,5.5,13.0,280,10,SUP-002,2025-09-26,Online Warehouse,5255341928327
CLO-10007,Black Silk Blouse,Tops,Blouse,Black,XS,24.0,60.0,60,8,SUP-011,2025-07-11,SF Downtown Store,6483503056413
CLO-10008,Beige Cardigan,Jackets,Cardigan,Beige,L,28.0,62.0,55,9,SUP-018,2025-08-29,Palo Alto Outlet,9537672423884
CLO-10009,Brown Leather Belt,Accessories,Belt,Brown,M,7.0,17.0,90,6,SUP-014,2025-05-19,Online Warehouse,9696532871012
CLO-10010,Black Beanie Cap,Accessories,Cap,Black,M,3.5,9.0,70,6,SUP-009,2025-04-30,SF Downtown Store,2691669784801
CLO-10011,Navy Wool Coat,Jackets,Coat,Navy,L,45.0,110.0,40,7,SUP-006,2025-10-15,Palo Alto Outlet,8451462704828
CLO-10012,Gray Fleece Jacket,Jackets,Hoodie,Gray,S,25.0,58.0,52,9,SUP-015,2025-08-05,Online Warehouse,1489325288095
CLO-10013,Red Tank Top,Tops,Tank Top,Red,XS,4.0,11.0,140,12,SUP-004,2025-09-19,SF Downtown Store,7015430391171
CLO-10014,Blue Polo Shirt,Tops,Shirt,Blue,M,12.0,28.0,170,14,SUP-017,2025-07-04,Palo Alto Outlet,8227824896383
CLO-10015,Green Silk Blouse,Tops,Blouse,Green,S,22.0,54.0,65,8,SUP-010,2025-06-14,Online Warehouse,4657871331509
CLO-10016,Black Jeans Shorts,Bottomwear,Shorts,Black,M,14.0,32.0,150,12,SUP-008,2025-08-02,SF Downtown Store,8393010310518
CLO-10017,White Linen Shirt,Tops,Shirt,White,L,18.0,40.0,100,12,SUP-001,2025-05-31,Palo Alto Outlet,3473829973763
CLO-10018,Purple Cardigan,Jackets,Cardigan,Purple,XL,26.0,60.0,28,7,SUP-013,2025-07-21,Online Warehouse,1165667010651
CLO-10019,Gray Cap Visor,Accessories,Cap,Gray,S,4.5,11.0,65,6,SUP-016,2025-09-12,SF Downtown Store,3338726247317
CLO-10020,Beige Scarf,Accessories,Scarf,Beige,M,9.0,22.0,40,5,SUP-020,2025-10-01,Palo Alto Outlet,8108013267736
CLO-10021,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,28.5,56.0,320,15,SUP-012,2025-09-14,SF Downtown Store,0260647468723
CLO-10022,Black Cotton Hoodie,Jackets,Hoodie,Black,L,22.0,44.0,120,12,SUP-007,2025-08-02,Palo Alto Outlet,4309805009788
CLO-10023,White Silk Blouse,Tops,Blouse,White,S,32.0,76.0,60,10,SUP-003,2025-07-21,SF Downtown Store,2081219136193
CLO-10024,Red V-Neck T-Shirt,Tops,T-Shirt,Red,M,8.5,16.0,410,12,SUP-005,2025-10-03,Online Warehouse,9909169985435
