supplier_id,supplier_name,contact_name,contact_email,phone_number,address,city,state,product_categories_supplied,purchase_order_id,order_date,delivery_date,status,total_cost,payment_status
SUP00054,FabricWorks Imports,Margaret Rodriguez,margaret.rodriguez@fabricworksimpo.com,(672) 386-1823,4362 Supply Chain Ave,El Paso,TX,Sweaters,PO0000001,2023-12-06,2023-12-18,Delivered,940.22,Paid
SUP00091,ModaSupply Wholesale,George Martin,george.martin@modasupplywhole.com,(229) 247-6314,1019 Trade Center Blvd,Detroit,MI,"Shirts, T-Shirts",PO0000002,2024-04-20,2024-05-08,Shipped,1395.82,Pending
SUP00126,UrbanTex Trading,David Phillips,david.phillips@urbantextrading.com,(832) 671-6928,1543 Logistics Pkwy,San Antonio,TX,Activewear,PO0000003,2024-10-17,2024-11-01,Delivered,2177.92,Paid
SUP00022,StyleCraft Imports,Paul Turner,paul.turner@stylecraftimpor.com,(215) 295-4872,2824 Logistics Pkwy,Fresno,CA,"Jeans, Shorts",PO0000004,2024-06-23,2024-06-25,Pending,964.92,Paid
SUP00009,TextilePlus Industries,Andrew Rivera,andrew.rivera@textileplusindu.com,(522) 417-9179,6582 Market St,San Jose,CA,Shirts,PO0000005,2024-04-08,2024-04-25,Delivered,1437.7,Paid
SUP00004,ThreadLine Supply Co.,Matthew Miller,matthew.miller@threadlinesuppl.com,(567) 552-5333,811 Market St,Miami,FL,Shorts,PO0000006,2024-09-28,2024-10-05,Delivered,786.64,Paid
SUP00107,TextilePlus Partners,Susan Evans,susan.evans@textilepluspart.com,(438) 536-3417,9864 Main St,Seattle,WA,"Dresses, Outerwear, T-Shirts",PO0000007,2024-03-20,2024-03-24,Delivered,725.0,Paid
SUP00066,PremiumFabrics Trading,George Robinson,george.robinson@premiumfabricst.com,(477) 513-5118,3877 Cedar Ln,Fort Worth,TX,"Dresses, Outerwear",PO0000008,2024-05-17,2024-05-28,Delivered,3386.25,Paid
SUP00143,VogueSupply Group,Laura White,laura.white@voguesupplygrou.com,(767) 305-9452,2142 Trade Center Blvd,Philadelphia,PA,"Dresses, Jackets, Skirts",PO0000009,2024-07-24,2024-08-02,Delivered,1848.0,Paid
SUP00090,UrbanWear Industries,Ronald Young,ronald.young@urbanwearindust.com,(754) 236-2121,3946 Trade Center Blvd,Charlotte,NC,"Accessories, Hoodies, Shorts",PO0000010,2024-02-02,2024-02-20,Pending,310.72,Pending
SUP00044,ClassicThreads LLC,Joseph Phillips,joseph.phillips@classicthreadsl.com,(403) 350-1400,857 Commerce Dr,Tucson,AZ,"Hoodies, Skirts",PO0000011,2024-06-17,2024-07-07,Shipped,1496.47,Paid
SUP00065,UrbanWear Inc.,Karen Nelson,karen.nelson@urbanwearinc.com,(795) 577-8753,9168 First Ave,Detroit,MI,"Dresses, Outerwear",PO0000012,2024-04-30,2024-05-20,Shipped,5000.0,Partial
SUP00143,VogueSupply Group,Laura White,laura.white@voguesupplygrou.com,(767) 305-9452,2142 Trade Center Blvd,Philadelphia,PA,"Dresses, Jackets, Skirts",PO0000013,2023-12-10,2023-12-23,Delivered,814.22,Paid
SUP00144,ApparelPro Apparel,Margaret Garcia,margaret.garcia@apparelproappar.com,(427) 661-6727,536 Logistics Pkwy,Chicago,IL,"Shirts, Sweaters",PO0000014,2024-01-14,2024-02-03,Delivered,2620.18,Paid
SUP00035,ChicTextiles Industries,Nancy Gomez,nancy.gomez@chictextilesind.com,(621) 885-5065,4471 Washington St,San Antonio,TX,"Jeans, Skirts",PO0000015,2024-09-27,2024-10-09,Delivered,3983.13,Paid
SUP00025,StyleCraft Solutions,Jennifer Diaz,jennifer.diaz@stylecraftsolut.com,(390) 270-2113,3953 Supply Chain Ave,Dallas,TX,"Activewear, Jeans, Outerwear, Shirts",PO0000016,2024-06-19,2024-07-01,Delivered,3139.85,Paid
SUP00083,FabricWorks Inc.,Sharon Davis,sharon.davis@fabricworksinc.com,(672) 320-3522,8265 Trade Center Blvd,Sacramento,CA,"Accessories, Shorts, Skirts",PO0000017,2024-05-23,2024-06-03,Shipped,592.7,Paid
SUP00105,ModaSupply Group,Jessica Diaz,jessica.diaz@modasupplygroup.com,(571) 301-7018,9020 Warehouse Ln,Chicago,IL,"Hoodies, Shirts",PO0000018,2024-07-14,2024-07-31,Delivered,517.02,Paid
SUP00040,ProStyle Trading,Brian Diaz,brian.diaz@prostyletrading.com,(327) 937-5920,8408 Trade Center Blvd,Louisville,KY,"Jackets, Outerwear",PO0000019,2024-06-17,2024-06-24,Shipped,534.31,Partial
SUP00078,VogueSupply Group,Sarah Lopez,sarah.lopez@voguesupplygrou.com,(799) 646-9056,1594 Broadway,Detroit,MI,"Accessories, Sweaters",PO0000020,2024-01-03,2024-01-08,Delivered,378.32,Pending
SUP00070,TrendyTextiles Group,Robert Torres,robert.torres@trendytextilesg.com,(844) 902-1878,2585 Park Blvd,Boston,MA,Shirts,PO0000021,2023-12-16,2023-12-27,Delivered,401.33,Paid
SUP00037,RetailFabrics LLC,Daniel Adams,daniel.adams@retailfabricsll.com,(721) 609-9785,5525 Main St,Dallas,TX,"Activewear, Jackets, T-Shirts",PO0000022,2024-04-03,2024-04-09,Delivered,2101.83,Paid
SUP00120,TextilePlus International,Anthony Robinson,anthony.robinson@textileplusinte.com,(549) 361-7062,5205 Distribution Dr,Philadelphia,PA,"Activewear, Outerwear, T-Shirts",PO0000023,2024-07-19,2024-07-27,Shipped,3802.17,Paid
SUP00117,TextilePlus Wholesale,Brian Walker,brian.walker@textilepluswhol.com,(429) 310-6736,9213 Warehouse Ln,Dallas,TX,"Activewear, Shirts, Shorts",PO0000024,2023-11-15,2023-11-27,Shipped,2171.52,Partial
